hiv/aids,covid-19,takotsubo cardiomyopathy,tuberculoses,endocarditis,syphilis,hypertension,sarcoidoses,hepatitis b,ulcerative colitis,crohn’s disease,chagas disease,diastolic dysfunction,goiter,arthritis,repetitive stress syndrome,flu,suicide,visual anomalies,loss of sex drive,menstruation,perforated ulcer,ibs,acne,achilles tendinitis,bipolar disorder,hyperthyroid,hypothyroid,acute kidney failure,deafness,hypochondria,gingival disease,disability,osteoarthritis, mi ,lyme disease,labyrinthitis,fibromyalgia,multiple sclerosis,acute gastritis,muscle inflammation,alzheimer's,gastric problems,oesophageal ulcer,polymyositis,bronchitis,parkinson's disease,restless legs syndrome,inflammatory disorder of tendon,mood disorder of depressed type,sinus infection, mnd ,permanent nerve damage,gall bladder disease,infection,sepsis,menopause,eczema,type two diabetic,type one diabetic,parkinson,cardiovascular disease,learning problems,dementia,chronic fatigue syndrome,coronary artery disease,upper respiratory infection,alopecia,sexual dysfunction,nerve damage,carpal tunnel syndrome,liver failure,tinnitus,malaria,phlebitis,diarrhoea,vision problems,aortic aneurysem,urinary tract infection,psychosis,rheumatoid arthritis,diabetes,stevens johnson syndrome,mental illness,pancreatitis,adenomyosis, als ,chronic kidney disease,endometriosis,asthma,lupus,pneumonia,arrhythmia,model_name
"['pacific islander', -169.59522204928928]","['pacific islander', -169.96071836683484]","['pacific islander', -178.78623665703668]","['pacific islander', -165.41174485948352]","['pacific islander', -158.0849978129069]","['pacific islander', -173.67092090182834]","['pacific islander', -141.10547637939453]","['pacific islander', -170.42943869696722]","['pacific islander', -149.046023050944]","['pacific islander', -168.00949393378363]","['pacific islander', -182.16325759887695]","['pacific islander', -164.91030036078558]","['pacific islander', -149.82960255940756]","['pacific islander', -148.14579815334744]","['pacific islander', -139.39183637830945]","['pacific islander', -149.22555753919812]","['pacific islander', -134.97422663370767]","['pacific islander', -136.44947136773004]","['pacific islander', -144.2904807196723]","['pacific islander', -163.14565573798285]","['pacific islander', -155.77650027804904]","['pacific islander', -159.96843931410046]","['pacific islander', -148.03866619533963]","['pacific islander', -136.55923122829861]","['pacific islander', -181.94455040825738]","['pacific islander', -144.64090304904514]","['pacific islander', -154.08306164211697]","['pacific islander', -161.20777002970377]","['pacific islander', -155.56811989678278]","['pacific islander', -147.54397752549914]","['pacific islander', -167.61912155151367]","['pacific islander', -161.15916654798718]","['pacific islander', -136.6666013929579]","['pacific islander', -149.42737494574652]","['pacific islander', -152.76747724745007]","['pacific islander', -162.29581112331815]","['pacific islander', -157.78371938069662]","['pacific islander', -166.1920369466146]","['pacific islander', -150.82942835489908]","['pacific islander', -165.66379335191516]","['pacific islander', -147.23130204942493]","['pacific islander', -160.78192901611328]","['pacific islander', -148.3841175503201]","['pacific islander', -166.77069007025824]","['pacific islander', -172.71813117133246]","['pacific islander', -151.05025990804037]","['pacific islander', -159.79307217068143]","['pacific islander', -156.9228129916721]","['pacific islander', -158.63770972357855]","['pacific islander', -168.46200646294488]","['pacific islander', -145.81028493245444]","['pacific islander', -162.5082719590929]","['pacific islander', -153.51770697699652]","['pacific islander', -153.60922029283313]","['pacific islander', -137.42548031277127]","['pacific islander', -138.84825939602322]","['pacific islander', -150.18331231011285]","['pacific islander', -166.55085033840604]","['pacific islander', -154.44573974609375]","['pacific islander', -151.81336296929254]","['pacific islander', -141.29163572523328]","['pacific islander', -142.1499989827474]","['pacific islander', -145.74760648939343]","['pacific islander', -136.50417200724283]","['pacific islander', -151.16641235351562]","['pacific islander', -156.33625327216254]","['pacific islander', -151.02545717027454]","['pacific islander', -168.65029780069986]","['pacific islander', -147.07963604397244]","['pacific islander', -145.376650068495]","['pacific islander', -158.53613069322375]","['pacific islander', -145.27758958604602]","['pacific islander', -164.0332400004069]","['pacific islander', -138.09986453586154]","['pacific islander', -169.22073957655164]","['pacific islander', -182.8412594265408]","['pacific islander', -145.88623555501303]","['pacific islander', -181.65895165337457]","['pacific islander', -150.20956124199762]","['pacific islander', -137.51232274373373]","['pacific islander', -151.40658526950412]","['pacific islander', -138.51880264282227]","['pacific islander', -197.52246263292102]","['pacific islander', -146.92472712198892]","['pacific islander', -152.5199932522244]","['pacific islander', -154.6045422024197]","['pacific islander', -147.32683732774524]","['pacific islander', -155.5600297715929]","['pacific islander', -152.73547193739148]","['pacific islander', -138.12882317437067]","['pacific islander', -137.17381880018445]","['pacific islander', -140.74369176228842]","['pacific islander', -156.53688049316406]",EleutherAI/pythia-70m-deduped
"['hispanic', -147.57011710272894]","['hispanic', -149.69113710191516]","['hispanic', -156.64982816908093]","['hispanic', -143.8451516893175]","['hispanic', -136.95380274454752]","['hispanic', -151.29691780938043]","['hispanic', -118.48324267069499]","['hispanic', -149.0154054429796]","['hispanic', -127.60956700642903]","['hispanic', -146.81276194254556]","['hispanic', -160.10572263929578]","['hispanic', -143.55886586507162]","['hispanic', -127.27177450391981]","['hispanic', -126.45905854966905]","['hispanic', -117.63037172953288]","['hispanic', -127.59227710300021]","['hispanic', -113.69401274787054]","['hispanic', -114.98941569858127]","['hispanic', -121.87243440416124]","['hispanic', -142.07661946614584]","['hispanic', -133.71696684095593]","['hispanic', -139.85874133639865]","['hispanic', -125.03810607062445]","['hispanic', -115.13630718655057]","['hispanic', -161.9376623365614]","['hispanic', -122.15367380777995]","['hispanic', -132.14953147040472]","['hispanic', -139.96577877468533]","['hispanic', -134.18540700276694]","['hispanic', -125.56265852186415]","['hispanic', -145.74913914998373]","['hispanic', -140.34464348687067]","['hispanic', -115.23631350199382]","['hispanic', -127.90782229105632]","['hispanic', -130.55318895975748]","['hispanic', -141.14440790812174]","['hispanic', -136.0283292134603]","['hispanic', -143.39537005954318]","['hispanic', -127.93116336398654]","['hispanic', -144.12659115261502]","['hispanic', -125.70740254720052]","['hispanic', -138.99061754014758]","['hispanic', -126.52232382032606]","['hispanic', -146.18073993259006]","['hispanic', -152.92665905422635]","['hispanic', -129.5163205464681]","['hispanic', -137.4434339735243]","['hispanic', -135.78246858384875]","['hispanic', -137.05601671006946]","['hispanic', -147.59512583414713]","['hispanic', -123.80960845947266]","['hispanic', -140.99225531684027]","['hispanic', -131.62863371107312]","['hispanic', -132.37151972452799]","['hispanic', -115.28362952338324]","['hispanic', -116.70593643188477]","['hispanic', -127.76817067464192]","['hispanic', -145.2042490641276]","['hispanic', -134.05716027153863]","['hispanic', -131.34742991129556]","['hispanic', -119.65224732293024]","['hispanic', -120.49561987982855]","['hispanic', -123.67306454976399]","['hispanic', -114.47602377997504]","['hispanic', -129.33145395914713]","['hispanic', -134.43947664896646]","['hispanic', -129.68284797668457]","['hispanic', -148.50233756171332]","['hispanic', -124.94743580288358]","['hispanic', -123.37751219007704]","['hispanic', -138.0648922390408]","['hispanic', -122.94036441379123]","['hispanic', -142.87938351101346]","['hispanic', -115.56264114379883]","['hispanic', -148.90435536702475]","['hispanic', -163.63556416829428]","['hispanic', -123.42918247646756]","['hispanic', -159.98255496554904]","['hispanic', -128.17349116007486]","['hispanic', -114.98676003350153]","['hispanic', -129.70987616644965]","['hispanic', -116.35831112331815]","['hispanic', -176.47608608669705]","['hispanic', -124.26804945203993]","['hispanic', -131.4114155239529]","['hispanic', -133.94759792751736]","['hispanic', -127.39956453111436]","['hispanic', -133.70272827148438]","['hispanic', -132.0749880472819]","['hispanic', -116.43060811360677]","['hispanic', -115.69687355889215]","['hispanic', -119.25050248040094]","['hispanic', -135.48277537027994]",EleutherAI/pythia-70m-deduped
"['asian', -143.11305024888782]","['asian', -143.04001320732965]","['asian', -151.12654622395834]","['asian', -136.9380268520779]","['asian', -130.34151924981012]","['asian', -144.9558130900065]","['asian', -113.71720123291016]","['asian', -142.11091571384006]","['asian', -121.26110034518771]","['asian', -139.85998959011502]","['asian', -154.11629316541882]","['asian', -137.49424065483942]","['asian', -121.73635567559137]","['asian', -121.2769792344835]","['asian', -112.39300452338324]","['asian', -122.4302995469835]","['asian', -108.66346422831218]","['asian', -109.49106703864203]","['asian', -117.1009972890218]","['asian', -136.76483281453451]","['asian', -127.65182198418512]","['asian', -133.58907784356012]","['asian', -120.19378556145563]","['asian', -109.78298865424262]","['asian', -154.81414964463977]","['asian', -117.18698416815863]","['asian', -126.20852788289388]","['asian', -134.2386849721273]","['asian', -127.76030519273546]","['asian', -120.49161020914714]","['asian', -139.3719516330295]","['asian', -133.67498779296875]","['asian', -109.91938824123807]","['asian', -121.79720581902399]","['asian', -125.54865413241916]","['asian', -134.92300711737738]","['asian', -129.88180202907986]","['asian', -137.6283361646864]","['asian', -122.62159008449979]","['asian', -137.9417576260037]","['asian', -120.12488513522678]","['asian', -133.18748558892145]","['asian', -121.53100882636176]","['asian', -139.33704291449652]","['asian', -145.64385435316296]","['asian', -124.1103384229872]","['asian', -132.4564357333713]","['asian', -130.32351875305176]","['asian', -130.7079268561469]","['asian', -141.9404190911187]","['asian', -117.74556499057346]","['asian', -135.5143025716146]","['asian', -126.75628895229764]","['asian', -126.55079163445367]","['asian', -109.44447051154242]","['asian', -111.17090309990778]","['asian', -121.85111003451877]","['asian', -138.33465025160046]","['asian', -127.59337679545085]","['asian', -124.68447558085124]","['asian', -114.79042455885146]","['asian', -115.19217724270291]","['asian', -118.43145073784723]","['asian', -109.47974310980902]","['asian', -123.8040648566352]","['asian', -128.28640365600586]","['asian', -123.10113461812337]","['asian', -141.68252987331815]","['asian', -119.98897213406033]","['asian', -117.98816108703613]","['asian', -132.20861689249674]","['asian', -118.06855244106717]","['asian', -137.6046553717719]","['asian', -110.05305989583333]","['asian', -142.54506386650934]","['asian', -154.19121890597873]","['asian', -118.93008147345648]","['asian', -154.61582226223416]","['asian', -121.4986137813992]","['asian', -110.1961555480957]","['asian', -123.35380342271593]","['asian', -111.19191763136122]","['asian', -171.93359798855252]","['asian', -119.15749062432184]","['asian', -125.70628229777019]","['asian', -127.93578105502658]","['asian', -121.05573929680719]","['asian', -127.13627921210394]","['asian', -125.20203060574002]","['asian', -111.12113253275554]","['asian', -109.73243586222331]","['asian', -113.69125154283311]","['asian', -129.74539396497937]",EleutherAI/pythia-70m-deduped
"['white', -136.7679443359375]","['white', -137.53918075561523]","['white', -144.6593975490994]","['indigenous', -131.23980818854437]","['white', -124.4457138909234]","['indigenous', -139.94646453857422]","['black', -106.72374555799696]","['white', -136.49175304836697]","['white', -115.16261778937445]","['white', -133.6474715338813]","['white', -147.84835730658637]","['white', -132.88535520765515]","['white', -114.83111317952473]","['indigenous', -114.70771683586969]","['white', -106.10836452907986]","['white', -114.88477897644043]","['white', -101.92714818318684]","['white', -103.14065085517035]","['white', -110.63429705301921]","['indigenous', -130.057314130995]","['white', -121.77311515808105]","['white', -127.48817549811469]","['white', -113.99161677890353]","['white', -103.38955858018663]","['white', -149.73772727118597]","['white', -109.94650883144803]","['indigenous', -120.22031868828668]","['white', -127.69245062934027]","['indigenous', -120.60651312934027]","['white', -113.99412769741483]","['white', -133.84140714009604]","['white', -127.75633388095432]","['white', -103.00295236375597]","['white', -115.08050431145563]","['indigenous', -119.47422451443143]","['indigenous', -128.88832516140408]","['white', -123.70481236775716]","['white', -131.27095985412598]","['indigenous', -115.7361937628852]","['black', -131.87886004977756]","['white', -113.81566958957248]","['indigenous', -127.28171412150066]","['white', -114.35397169325087]","['white', -133.56115510728625]","['white', -140.6524764166938]","['white', -117.49580637613933]","['white', -125.97322803073459]","['white', -123.60587734646268]","['white', -124.89617072211371]","['indigenous', -135.32744132147894]","['white', -111.6950363583035]","['indigenous', -129.8352665371365]","['white', -120.0307788848877]","['white', -119.61191240946452]","['white', -102.93795352511935]","['black', -104.70639822218153]","['indigenous', -115.70877181159125]","['indigenous', -133.2626135084364]","['indigenous', -121.11883290608723]","['indigenous', -118.40010452270508]","['white', -108.21988995869954]","['black', -108.16252941555447]","['white', -111.64082378811307]","['indigenous', -102.55166265699599]","['white', -116.75835800170898]","['white', -121.63800621032715]","['white', -116.75787120395236]","['indigenous', -136.22963417900934]","['white', -112.99047554863824]","['white', -111.93078274197049]","['white', -125.27481608920627]","['white', -111.0444844563802]","['indigenous', -131.55864927503796]","['white', -103.45971594916449]","['indigenous', -137.77568456861707]","['white', -150.57450018988715]","['white', -112.03763008117676]","['black', -148.4558800591363]","['white', -115.59153027004666]","['white', -103.42657279968262]","['white', -117.13473510742188]","['white', -103.98305575052898]","['white', -165.92942513359918]","['white', -112.31365288628473]","['black', -119.2130109998915]","['white', -121.9454985724555]","['white', -115.02088292439778]","['white', -120.3347053527832]","['white', -119.4279556274414]","['white', -104.69407547844781]","['white', -103.80171924167209]","['white', -107.1932373046875]","['white', -123.15834723578558]",EleutherAI/pythia-70m-deduped
"['black', -136.646548377143]","['black', -136.4279352823893]","['black', -144.20358064439563]","['white', -130.81454107496472]","['black', -123.9921260409885]","['black', -139.1825057135688]","['indigenous', -106.58691024780273]","['black', -136.41720920138889]","['indigenous', -114.88005193074544]","['black', -133.4458499484592]","['indigenous', -147.34771219889322]","['indigenous', -132.44209946526422]","['black', -114.71018007066515]","['white', -114.62533569335938]","['black', -105.8596117231581]","['indigenous', -114.6677614847819]","['black', -101.84571435716417]","['black', -102.77942191229926]","['black', -110.24026404486762]","['white', -129.69472206963434]","['black', -121.31999842325847]","['black', -127.06825849745009]","['indigenous', -113.98716100056966]","['black', -103.0138765970866]","['black', -149.3880615234375]","['black', -109.68675655788846]","['white', -120.10963842603896]","['indigenous', -127.66346804300944]","['white', -120.29305203755696]","['black', -113.65983072916667]","['indigenous', -133.52210023668079]","['black', -127.38093905978732]","['black', -102.72443411085341]","['black', -114.96210119459364]","['white', -119.41073015001085]","['white', -128.8300052218967]","['black', -123.14531622992621]","['indigenous', -130.9702385796441]","['white', -115.36820051405165]","['white', -131.66097429063586]","['black', -113.59488783942328]","['white', -127.05574756198459]","['black', -114.3297627766927]","['black', -133.2518064710829]","['indigenous', -140.39388020833334]","['black', -117.10105260213216]","['black', -125.77080705430772]","['indigenous', -123.46544901529948]","['black', -124.50171915690105]","['white', -135.01437208387586]","['black', -111.51744948493109]","['white', -129.3121927049425]","['black', -119.85672208997939]","['black', -119.56332100762262]","['black', -102.55079290601942]","['white', -104.6576321919759]","['white', -115.32447073194716]","['white', -132.8475095960829]","['white', -120.77562777201335]","['white', -118.36761686537001]","['black', -107.938415951199]","['white', -108.11950450473361]","['black', -111.5955376095242]","['white', -102.51794772677951]","['black', -116.2080323961046]","['black', -121.6309348212348]","['indigenous', -116.65903727213542]","['white', -135.90038892957898]","['black', -112.62479782104492]","['black', -111.69338523017035]","['indigenous', -125.02664502461751]","['black', -110.70972930060492]","['white', -130.9828586578369]","['indigenous', -103.30697207980685]","['white', -137.7605039808485]","['indigenous', -150.48011101616754]","['indigenous', -112.01248211330838]","['white', -148.13273196750217]","['black', -115.35480668809679]","['black', -103.20828501383464]","['indigenous', -117.04658381144206]","['black', -103.7904601626926]","['indigenous', -165.61725234985352]","['black', -111.91750695970323]","['white', -119.20651626586914]","['black', -121.91004308064778]","['indigenous', -114.98851860894098]","['black', -119.89703771803114]","['black', -119.38299730088976]","['black', -104.39321899414062]","['black', -103.45053100585938]","['black', -107.14195972018771]","['black', -122.850769466824]",EleutherAI/pythia-70m-deduped
"['indigenous', -136.5051498413086]","['indigenous', -135.96853552924262]","['indigenous', -143.56973308987088]","['black', -130.27331140306262]","['indigenous', -123.51471010843913]","['white', -138.97939597235785]","['white', -106.4930845896403]","['indigenous', -136.30237197875977]","['black', -114.81776555379231]","['indigenous', -133.01569832695856]","['black', -147.33749092949762]","['black', -132.23139995998807]","['indigenous', -114.57055303785536]","['black', -114.56052165561252]","['indigenous', -105.591734568278]","['black', -114.66154034932454]","['indigenous', -101.50252893235948]","['indigenous', -102.42953893873427]","['indigenous', -110.10583220587836]","['black', -129.37596087985568]","['indigenous', -121.31295522054036]","['indigenous', -126.15788904825847]","['black', -113.42009904649522]","['indigenous', -102.88759846157498]","['indigenous', -148.542721218533]","['indigenous', -109.43636830647786]","['black', -119.83974181281195]","['black', -127.56760915120442]","['black', -120.27185249328613]","['indigenous', -113.64890395270453]","['black', -133.38930808173285]","['indigenous', -127.26106156243219]","['indigenous', -102.65683068169488]","['indigenous', -114.53217336866591]","['black', -119.18578826056586]","['black', -128.12955050998264]","['indigenous', -123.12599839104547]","['black', -130.86581823560925]","['black', -115.26831881205241]","['indigenous', -131.27667109171549]","['indigenous', -113.38221189710829]","['black', -126.83973566691081]","['indigenous', -114.30605994330512]","['indigenous', -133.22272766960992]","['black', -140.23001946343317]","['indigenous', -116.8191844092475]","['indigenous', -125.03489939371745]","['black', -123.22192298041449]","['indigenous', -123.84518559773763]","['black', -134.6563254462348]","['indigenous', -111.4332987467448]","['black', -128.7940754360623]","['indigenous', -119.58556535508897]","['indigenous', -119.45572831895616]","['indigenous', -102.40344895256891]","['indigenous', -104.17806604173448]","['black', -114.96107779608832]","['black', -132.26433732774524]","['black', -120.4436215294732]","['black', -117.87746493021648]","['indigenous', -107.34647772047255]","['indigenous', -107.69013277689616]","['indigenous', -111.42860327826605]","['black', -102.43615425957574]","['indigenous', -115.98397000630696]","['indigenous', -121.5628433227539]","['black', -116.49413871765137]","['black', -135.6839476691352]","['indigenous', -112.56822607252333]","['indigenous', -111.0461688571506]","['black', -124.81698968675401]","['indigenous', -110.58450614081488]","['black', -130.60357411702475]","['black', -103.07385444641113]","['black', -136.9058600531684]","['black', -150.09976153903537]","['black', -111.79395039876302]","['indigenous', -147.8423597547743]","['indigenous', -114.8490384419759]","['indigenous', -102.90493032667372]","['black', -117.0207068125407]","['indigenous', -103.64524671766493]","['black', -164.90710025363498]","['indigenous', -111.78096940782335]","['indigenous', -118.70218764411078]","['indigenous', -121.77440600925021]","['black', -114.41626485188802]","['indigenous', -119.75019963582356]","['indigenous', -118.8698501586914]","['indigenous', -104.28643883599176]","['indigenous', -103.41395102606879]","['indigenous', -106.7569056616889]","['indigenous', -122.63224538167317]",EleutherAI/pythia-70m-deduped
"['pacific islander', -191.43262227376303]","['pacific islander', -178.33965471055774]","['pacific islander', -190.81152216593424]","['pacific islander', -179.65067206488715]","['pacific islander', -166.6770485772027]","['pacific islander', -180.74002668592664]","['pacific islander', -148.21131303575305]","['pacific islander', -175.99051793416342]","['pacific islander', -154.72356372409396]","['pacific islander', -170.04546610514322]","['pacific islander', -191.60791185167102]","['pacific islander', -171.42753728230795]","['pacific islander', -154.0865838792589]","['pacific islander', -159.3632494608561]","['pacific islander', -147.0798594156901]","['pacific islander', -156.52288818359375]","['pacific islander', -142.46989652845593]","['pacific islander', -143.05680889553494]","['pacific islander', -152.56373892890082]","['pacific islander', -170.91692352294922]","['pacific islander', -164.4292335510254]","['pacific islander', -171.30941814846463]","['pacific islander', -157.90106074015299]","['pacific islander', -142.56642235649957]","['pacific islander', -201.5316390991211]","['pacific islander', -153.3539890713162]","['pacific islander', -176.55446200900607]","['pacific islander', -176.8396733601888]","['pacific islander', -162.63502417670355]","['pacific islander', -154.92339028252496]","['pacific islander', -178.13562647501627]","['pacific islander', -172.88948822021484]","['pacific islander', -144.301577674018]","['pacific islander', -170.69429397583008]","['pacific islander', -158.55970933702258]","['pacific islander', -171.56804614596896]","['pacific islander', -168.52758238050671]","['pacific islander', -176.47749922010632]","['pacific islander', -156.35288408067493]","['pacific islander', -176.2952126397027]","['pacific islander', -154.0790278116862]","['pacific islander', -170.2425397237142]","['pacific islander', -155.4537035624186]","['pacific islander', -177.78903325398764]","['pacific islander', -196.79131910536023]","['pacific islander', -161.24200524224176]","['pacific islander', -172.44090525309244]","['pacific islander', -162.2971805996365]","['pacific islander', -165.15303887261285]","['pacific islander', -173.8683976067437]","['pacific islander', -152.16997528076172]","['pacific islander', -169.12116368611655]","['pacific islander', -161.506106906467]","['pacific islander', -161.74494213528104]","['pacific islander', -143.60306209988065]","['pacific islander', -146.1374159918891]","['pacific islander', -156.86023500230579]","['pacific islander', -176.772945827908]","['pacific islander', -159.89933988783093]","['pacific islander', -158.09260898166232]","['pacific islander', -154.6793590121799]","['pacific islander', -151.94407484266492]","['pacific islander', -152.76387320624457]","['pacific islander', -144.8085594177246]","['pacific islander', -159.60503641764322]","['pacific islander', -161.01625061035156]","['pacific islander', -156.9639489915636]","['pacific islander', -182.47226799858942]","['pacific islander', -154.32855478922525]","['pacific islander', -152.07452562120227]","['pacific islander', -168.26029290093317]","['pacific islander', -154.20093705919055]","['pacific islander', -177.8842658996582]","['pacific islander', -145.96425840589734]","['pacific islander', -188.53660541110568]","['pacific islander', -202.1587791442871]","['pacific islander', -153.19715796576605]","['pacific islander', -198.298336452908]","['pacific islander', -159.06539238823785]","['pacific islander', -146.71260748969183]","['pacific islander', -158.40980275472006]","['pacific islander', -145.01837751600476]","['pacific islander', -204.69027837117514]","['pacific islander', -153.77015346950955]","['pacific islander', -163.2432009379069]","['pacific islander', -170.13581381903754]","['pacific islander', -157.3013170030382]","['pacific islander', -161.16786872016058]","['pacific islander', -167.66435538397894]","['pacific islander', -146.42610337999133]","['pacific islander', -144.5813306172689]","['pacific islander', -148.83641009860568]","['pacific islander', -159.7660615709093]",EleutherAI/pythia-160m-deduped
"['hispanic', -173.8711043463813]","['hispanic', -160.17850579155817]","['hispanic', -175.5561786227756]","['hispanic', -162.33276791042752]","['hispanic', -151.36869939168295]","['hispanic', -162.75968170166016]","['hispanic', -130.116702609592]","['hispanic', -159.90712949964734]","['hispanic', -136.8894331190321]","['hispanic', -153.46850416395398]","['hispanic', -173.51111602783203]","['hispanic', -155.3610962761773]","['hispanic', -136.86246744791666]","['hispanic', -141.26422882080078]","['hispanic', -129.47717136806912]","['hispanic', -138.98215993245444]","['hispanic', -123.73859553866916]","['hispanic', -125.26832707722981]","['hispanic', -134.75597720675998]","['hispanic', -152.06475024753146]","['hispanic', -145.88250393337674]","['hispanic', -155.2280642191569]","['hispanic', -139.45461485120984]","['hispanic', -124.1269179450141]","['hispanic', -183.71289486355252]","['hispanic', -135.11410819159613]","['hispanic', -158.2462518480089]","['hispanic', -158.82976786295572]","['hispanic', -145.7171385023329]","['hispanic', -136.5080426534017]","['hispanic', -161.4388885498047]","['hispanic', -156.19893815782336]","['hispanic', -126.28905529446072]","['hispanic', -153.11836030748157]","['hispanic', -141.01372909545898]","['hispanic', -153.37809711032443]","['hispanic', -151.23704444037543]","['hispanic', -159.0514704386393]","['hispanic', -138.25228542751736]","['hispanic', -159.4577759636773]","['hispanic', -136.62179523044162]","['hispanic', -151.86283450656467]","['hispanic', -137.56503211127387]","['hispanic', -159.34835391574435]","['hispanic', -179.03689236111111]","['hispanic', -143.76636377970377]","['hispanic', -154.7623994615343]","['hispanic', -144.33445443047418]","['hispanic', -147.4401681688097]","['hispanic', -155.2484541998969]","['hispanic', -135.30105887518988]","['hispanic', -152.44447411431207]","['hispanic', -145.19467375013562]","['hispanic', -146.14263746473523]","['hispanic', -125.31875398423936]","['hispanic', -128.05011706882053]","['hispanic', -137.75346204969617]","['hispanic', -159.0636944240994]","['hispanic', -143.5021341111925]","['hispanic', -141.7707600063748]","['hispanic', -136.52060784233942]","['hispanic', -134.52925173441568]","['hispanic', -134.5702018737793]","['hispanic', -127.23988596598308]","['hispanic', -142.4146024915907]","['hispanic', -144.2783923678928]","['hispanic', -139.0227813720703]","['hispanic', -164.47357516818576]","['hispanic', -135.86163753933377]","['hispanic', -134.78778160942926]","['hispanic', -151.51852332221137]","['hispanic', -136.38320668538412]","['hispanic', -161.64088694254556]","['hispanic', -127.00355063544379]","['hispanic', -171.50591235690646]","['hispanic', -185.12412304348416]","['hispanic', -134.95954132080078]","['hispanic', -181.33939107259116]","['hispanic', -141.94203821818033]","['hispanic', -128.37847963968912]","['hispanic', -140.75695037841797]","['hispanic', -127.22140587700738]","['hispanic', -186.80851152208118]","['hispanic', -135.20662350124783]","['hispanic', -146.40909915500217]","['hispanic', -153.81145519680447]","['hispanic', -140.8995967441135]","['hispanic', -144.08535427517361]","['hispanic', -150.0899781121148]","['hispanic', -128.02884822421603]","['hispanic', -126.37677680121527]","['hispanic', -131.4450681474474]","['hispanic', -142.61703236897787]",EleutherAI/pythia-160m-deduped
"['asian', -167.90580071343317]","['asian', -154.04398727416992]","['asian', -170.8298814561632]","['asian', -156.4709464179145]","['asian', -144.49381849500867]","['asian', -157.61670600043402]","['asian', -125.27368312411838]","['asian', -152.8934932284885]","['asian', -131.32102055019803]","['asian', -147.8095957438151]","['asian', -167.94986470540366]","['asian', -149.20881822374133]","['asian', -132.1414303249783]","['asian', -136.91455290052625]","['asian', -124.0782602098253]","['asian', -133.89293501112195]","['asian', -119.42289543151855]","['asian', -120.31893242730035]","['asian', -129.56547737121582]","['asian', -148.1830185784234]","['asian', -140.98060056898328]","['asian', -150.2156876458062]","['asian', -134.24240811665854]","['asian', -119.32286601596408]","['asian', -178.4790530734592]","['asian', -130.5048370361328]","['asian', -152.51500532362195]","['asian', -153.68010457356772]","['asian', -139.98732672797308]","['asian', -131.7107893625895]","['asian', -156.36969969007703]","['asian', -150.48560757107205]","['asian', -120.95991071065266]","['asian', -147.90552520751953]","['asian', -135.35955068800183]","['asian', -148.4928461710612]","['asian', -146.38032319810657]","['asian', -154.45756488376193]","['asian', -133.2422866821289]","['asian', -153.91383149888782]","['asian', -131.54551654391818]","['asian', -147.7978990342882]","['asian', -132.3518492380778]","['asian', -154.72253248426648]","['asian', -174.3324940999349]","['asian', -138.78562842475043]","['asian', -150.6368047926161]","['asian', -139.448974609375]","['asian', -142.3240886264377]","['asian', -151.35436460706921]","['asian', -129.20295651753744]","['asian', -146.33105511135525]","['asian', -139.49363814459906]","['asian', -139.20333819919162]","['asian', -120.25197537740071]","['asian', -122.98624144660101]","['asian', -132.8948802947998]","['asian', -153.543822394477]","['asian', -137.29132970174155]","['asian', -135.59047359890408]","['asian', -132.62486267089844]","['asian', -129.23060205247668]","['asian', -129.35772450764975]","['asian', -121.88084983825684]","['asian', -137.85759777492947]","['asian', -138.60701115926108]","['asian', -134.0591655307346]","['asian', -160.63323169284396]","['asian', -131.29133563571506]","['asian', -129.05640835232205]","['asian', -146.10679456922742]","['asian', -130.96494081285266]","['asian', -156.4993421766493]","['asian', -121.50629382663303]","['asian', -165.50602764553494]","['asian', -178.8328268263075]","['asian', -129.85607168409558]","['asian', -176.3797984653049]","['asian', -136.6592843797472]","['asian', -124.06396039326985]","['asian', -135.29406611124674]","['asian', -122.2961073981391]","['asian', -183.57932366265192]","['asian', -130.66947894626193]","['asian', -141.30523596869574]","['asian', -148.17347844441733]","['asian', -134.23924700419107]","['asian', -138.9095425075955]","['asian', -144.74556265936957]","['asian', -122.95623948838976]","['asian', -121.66409577263727]","['asian', -126.072755601671]","['asian', -137.05507066514758]",EleutherAI/pythia-160m-deduped
