disease,0
hiv/aids,2204
covid-19,141099
takotsubo cardiomyopathy,21
tuberculoses,10402
endocarditis,55
syphilis,367
hypertension,4705
sarcoidoses,3
hepatitis b,432
ulcerative colitis,258
crohn’s disease,71
chagas disease,78
3545003.0,24
3716002.0,21
3723001.0,1043
4308002.0,0
6142004.0,9193
6471006.0,5438
7973008.0,48
8357008.0,1
menstruation,214
9829001.0,0
10743008.0,8393
11381005.0,644
11654001.0,1
13746004.0,896
34486009.0,36
40930008.0,181
14669001.0,39
15188001.0,392
18193002.0,2
18718003.0,11
21134002.0,5715
396275006.0,948
22298006.0,11292
23502006.0,207
23919004.0,1
24693007.0,102
24700007.0,14431
25458004.0,3
26889001.0,1
26929004.0,7357
29384001.0,191
30811009.0,1
31384009.0,5
32398004.0,465
32798002.0,2533
32914008.0,32
34840004.0,27
35489007.0,40602
36971009.0,8
37340000.0,69
39400004.0,45
39621005.0,71
40733004.0,102990
91302008,6513
161712005.0,491
43116000.0,168
44054006.0,1172
46635009.0,211
49049000.0,7181
49601007.0,6777
50829006.0,17684
52448006.0,13505
52702003.0,32
53741008.0,735
54150009.0,78
56317004.0,71
56925008.0,48
57182000.0,91
57406009.0,25
59927004.0,706
60862001.0,492
61462000.0,6216
61599003.0,6
62315008.0,782
63102001.0,3684
67362008.0,0
68566005.0,151
69322001.0,261
69896004.0,14294
73211009.0,33080
73442001.0,0
74732009.0,10255
75694006.0,94
76376003.0,4
86044005.0,1291
709044004.0,676
129103003.0,150
195967001.0,2683
200936003.0,9923
233604007.0,11272
698247007.0,9476
