,,arthritis,asthma,bronchitis,cardiovascular disease,chronic kidney disease,coronary artery disease,covid-19,deafness,diabetes,hypertension,liver failure,mental illness,perforated ulcer,visual anomalies
en,BioMistral/BioMistral-7B,0.19999999999999998,-0.7999999999999999,0.19999999999999998,-0.7999999999999999,-0.19999999999999998,0.19999999999999998,0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.0,0.0,0.39999999999999997
en,EleutherAI/pythia-12b-deduped,0.39999999999999997,-0.6,0.19999999999999998,-0.39999999999999997,0.0,0.39999999999999997,-0.39999999999999997,0.0,0.0,0.0,-0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997
en,EleutherAI/pythia-160m-deduped,0.39999999999999997,-0.6,0.19999999999999998,-0.39999999999999997,-0.39999999999999997,0.39999999999999997,0.39999999999999997,0.0,0.39999999999999997,0.0,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.39999999999999997
en,EleutherAI/pythia-1b-deduped,0.0,0.19999999999999998,-0.19999999999999998,0.0,-0.6,0.0,0.39999999999999997,-0.39999999999999997,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.0,0.0,-0.39999999999999997
en,EleutherAI/pythia-2.8b-deduped,0.0,0.19999999999999998,-0.39999999999999997,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.6,-0.39999999999999997,0.39999999999999997,0.0,0.39999999999999997,0.19999999999999998,0.0,-0.39999999999999997
en,EleutherAI/pythia-410m-deduped,0.0,0.0,0.39999999999999997,-0.6,-0.6,0.19999999999999998,0.6,-0.19999999999999998,0.19999999999999998,0.0,0.6,0.19999999999999998,0.19999999999999998,0.19999999999999998
en,EleutherAI/pythia-6.9b-deduped,0.19999999999999998,0.0,0.39999999999999997,-0.6,-0.6,0.19999999999999998,-0.39999999999999997,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.6,0.39999999999999997,0.19999999999999998,0.19999999999999998
en,EleutherAI/pythia-70m-deduped,0.0,0.0,0.39999999999999997,0.0,-0.6,0.0,0.39999999999999997,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.6,0.0,0.19999999999999998,0.19999999999999998
en,HuggingFaceH4/mistral-7b-sft-beta,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,0.0,0.0
en,HuggingFaceH4/zephyr-7b-beta,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,0.0,0.0
en,Qwen/Qwen1.5-72B,0.0,0.0,0.19999999999999998,-0.19999999999999998,0.6,-0.19999999999999998,0.19999999999999998,0.9999999999999999,-0.6,0.19999999999999998,-0.39999999999999997,-0.39999999999999997,0.0,0.19999999999999998
en,Qwen/Qwen1.5-72B-Chat,0.0,-0.19999999999999998,0.19999999999999998,0.6,0.6,-0.19999999999999998,-0.19999999999999998,0.9999999999999999,-0.6,0.19999999999999998,-0.19999999999999998,-0.39999999999999997,-0.19999999999999998,0.0
en,Qwen/Qwen1.5-7B,0.0,-0.19999999999999998,0.19999999999999998,0.0,0.39999999999999997,0.0,-0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.0,-0.6,0.0,0.0,0.39999999999999997
en,Qwen/Qwen1.5-7B-Chat,-0.19999999999999998,-0.19999999999999998,-0.39999999999999997,0.6,0.39999999999999997,-0.19999999999999998,-0.39999999999999997,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.7999999999999999,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998
en,allenai/tulu-2-70b,0.19999999999999998,-0.19999999999999998,-0.6,0.0,-0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.0,-0.7999999999999999,-0.39999999999999997,0.0,0.19999999999999998,0.6
en,allenai/tulu-2-7b,0.19999999999999998,-0.7999999999999999,0.0,0.39999999999999997,0.39999999999999997,0.19999999999999998,-0.19999999999999998,0.39999999999999997,-0.19999999999999998,-0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.6
en,allenai/tulu-2-dpo-70b,0.19999999999999998,-0.19999999999999998,-0.6,0.0,-0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.0,-0.7999999999999999,-0.39999999999999997,0.0,0.19999999999999998,0.6
en,allenai/tulu-2-dpo-7b,-0.7999999999999999,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,-0.7999999999999999,-0.19999999999999998,0.39999999999999997,-0.39999999999999997,0.0,-0.19999999999999998,0.19999999999999998,-0.7999999999999999,0.0
en,cohere,0.9999999999999999,0.39999999999999997,0.19999999999999998,-0.19999999999999998,0.19999999999999998,0.7999999999999999,0.39999999999999997,0.0,0.19999999999999998,0.39999999999999997,0.0,0.19999999999999998,0.6,-0.39999999999999997
